State #,State name,Medicare enrollees,Total Medicare reimbursements per enrollee (Parts A and B) (2014),,Hospital & skilled nursing facility reimbursements per enrollee (2014),,Physician reimbursements per enrollee (2014),,Outpatient facility reimbursements per enrollee (2014),,Home health agency reimbursements per enrollee (2014),,Hospice reimbursements per enrollee (2014),,Durable medical equipment reimbursements per enrollee (2014),
,,,"Age, sex & race-adjusted","Price, age, sex & race-adjusted","Age, sex & race-adjusted","Price, age, sex & race-adjusted","Age, sex & race-adjusted","Price, age, sex & race-adjusted","Age, sex & race-adjusted","Price, age, sex & race-adjusted","Age, sex & race-adjusted","Price, age, sex & race-adjusted","Age, sex & race-adjusted","Price, age, sex & race-adjusted","Age, sex & race-adjusted","Price, age, sex & race-adjusted"
1,Alabama,"4,94,966","8,681","9,962","3,447","4,266","2,579","2,727","1,352","1,517",551,629,543,635,229,213
2,Alaska,"56,634","8,703","6,971","4,102","3,076","2,334","1,971","1,660","1,389",209,176,185,172,118,108
3,Arizona,"5,07,408","9,068","8,977","3,652","3,616","3,211","3,210","1,211","1,180",318,307,489,472,176,180
4,Arkansas,"3,32,791","8,467","9,544","3,861","4,617","2,231","2,343","1,389","1,538",409,458,342,365,235,226
5,California,"21,48,329","10,506","8,908","4,799","3,871","3,104","2,896","1,495","1,200",573,465,367,306,164,165
6,Colorado,"3,33,404","8,395","8,404","3,554","3,621","2,344","2,299","1,495","1,479",407,400,356,350,230,247
7,Connecticut,"3,41,676","10,548","9,192","4,944","4,059","2,881","2,766","1,752","1,527",591,515,246,197,155,159
8,Delaware,"1,22,797","9,878","9,506","4,291","4,079","2,957","2,913","1,593","1,539",401,380,443,401,193,191
9,District of Columbia,"45,051","8,877","8,063","4,203","3,669","2,640","2,445","1,398","1,347",268,259,289,274,133,138
10,Florida,"18,25,196","10,600","10,943","4,027","4,443","3,793","3,700","1,254","1,292",866,885,450,409,199,206
11,Georgia,"7,20,882","8,760","9,391","3,472","3,914","2,688","2,752","1,426","1,505",430,452,561,587,203,201
12,Hawaii,"85,577","7,464","7,183","3,338","3,037","2,113","2,116","1,440","1,466",137,140,347,340,93,90
13,Idaho,"1,35,364","7,946","8,238","3,306","3,348","1,620","1,697","1,910","2,015",429,446,462,517,225,223
14,Illinois,"11,88,641","9,793","9,939","4,425","4,591","2,603","2,608","1,682","1,682",625,611,287,274,172,174
15,Indiana,"6,33,620","9,304","9,780","4,413","4,772","2,222","2,271","1,750","1,795",389,395,333,350,199,198
16,Iowa,"3,75,503","7,938","8,355","3,471","3,684","1,853","1,943","1,966","2,066",216,226,256,273,192,179
17,Kansas,"3,12,696","8,719","9,518","3,916","4,447","2,187","2,267","1,770","1,909",313,334,317,344,221,219
18,Kentucky,"4,15,146","9,245","10,320","4,391","4,963","2,226","2,526","1,609","1,758",557,609,230,234,239,233
19,Louisiana,"3,68,370","10,106","11,221","4,437","5,112","2,381","2,478","1,693","1,875",906,"1,011",468,530,211,198
20,Maine,"1,63,839","8,289","8,558","3,544","3,602","1,763","1,953","2,157","2,190",401,401,263,265,176,162
21,Maryland,"5,97,072","10,297","9,127","4,647","3,659","2,981","2,811","1,934","1,932",340,340,250,238,152,158
22,Massachusetts,"6,51,811","10,696","9,190","5,130","4,149","2,449","2,421","1,988","1,633",699,575,307,279,135,140
23,Michigan,"9,01,093","10,074","10,282","4,620","4,689","2,564","2,592","1,757","1,822",577,605,357,375,197,196
